plate	sample	orf1_ct
1	7c19a27c938c0d9f	22.193434
1	43130ae7a64cacdb	22.770636
1	1f8c44e88c2980e7	25.0
1	15cbf61c81896884	14.0
1	cea7364d690385d3	20.0
1	eb80f279998065d0	0.0
1	a9248226c621e63f	19.0
1	aabb02aaf3572c18	22.80201
1	f532a4530ba51587	21.0
1	c24ae02a862f3dc4	15.0
1	abe81334ef368de3	10.0001
1	3ee672594e81f3be	19.0
1	a8df91347afbd508	18.0
1	3f9af994cae50e8e	26.0
1	b0efb88ff79bfe39	17.0
1	858146f1935a2466	20.0
1	b25d33ef3c77e3fb	29.0
1	1d71e0439edbab0e	32.0
1	b638bfc0e371bec3	29.0
1	c32c5c5524a7ca65	0.0
1	ab48bebae950e182	20.0
1	43007c7ddd97360d	28.0
1	a3886743869e1324	33.0
1	027789ccf9f6ff57	16.0
1	924252cde755ea67	15.0
1	6703546252c16d16	21.0
1	d302d0c987a78c55	30.0
1	c44610183a58e1db	16.0
1	df2a6532c0f9ea37	18.0
1	a5a0d5defefda27f	16.0
1	5b95b2621e185ccb	19.0
1	793d753f94a95d06	29.0
1	c03c9eb43f841ff1	16.0
1	562c51f597020902	14.0
1	773df88e2e8c8412	22.0
1	18d8076ed9e99f27	14.0
1	fe98a2978b3d59df	15.0
1	2420c0d683726c7a	21.0
1	cd7ec355a02b2d6d	0.0
1	5c4354b2fc502b65	27.0
1	0b9a4dce9564e6aa	33.0
1	96bed5260a50b70c	27.0
1	0044e20800b6891b	31.0
1	83ed5ea5d1c513b2	23.0
1	859eb00da3327d9c	26.0
2	NC	
2	29ff730192903986	17.0
2	ac926960f4f13bba	0.0
2	a8c98dc241bc6cc6	13.0
2	921d55724ca853d8	28.0
2	4e666ff1072530cb	13.0
2	d7bb52226e2774fc	0.0
2	a3aa1e902486cb82	19.0
2	2a406b19f0db2578	23.0
2	792b80afabd3f24d	0.0
2	9698a6cdc25cf0f5	17.0
2	08c3e58e0afb5f6e	21.0
2	IQC	
2	58936a2a2972fb4f	10.0
2	54c569736db06ebd	29.0
2	755362a5a533a0de	28.0
2	c5e0c73f69899237	21.0
2	3b4a7b54f1841b01	23.0
2	e9972ba79b191491	12.0
2	dbcee42bc891946e	23.0
2	59b76e3d15fd72ed	20.0
2	acc9f3b99efbaacf	11.0
2	8295a80c92794545	23.0
2	631fe918a79006e4	0.0
2	99f42777e5047478	0.0
2	fabf597e49a244b8	35.0
2	25c870014eec7a15	33.0
2	49e2b7917d22b2f7	13.0
2	84629f48884e9628	16.0
2	06e4d40ee20cda6c	13.0
2	3c349d95005dd98a	35.0
2	511196c0992d0cc5	29.0
2	0208f03bbec97b65	20.0
2	6a955745cb7233b7	24.0
2	dfdc590f52a2bcb6	0.0
2	2501f7c3226bfbe1	30.0
2	a0b4523b4e30f3fe	30.0
2	42b9e86eb7a268b1	22.0
2	57756b8c8b6bc594	29.0
2	be2761fe258b19e4	20.0
2	e6a6b02b19fb134e	0.0
2	a794e4af9bb50554	23.0
2	45d6208edd0b02a5	20.0
2	f03b7cd49848be0a	23.0
2	5d3505bfbf5c196e	19.0
2	5a2ba8d0da849748	13.0
2	1b3a8dfb8648b8bc	0.0
2	f0e9d99a7ded21c1	16.0
2	688999a3baff0e45	26.0
2	03409ddc9f75c396	13.0
2	5098b39242b158ac	21.0
2	6879b9d5dc96ff90	19.0
2	03248a6e6bf69e5f	16.0
2	c5bd388dc622cf0c	16.0
2	22cbba4a77820864	15.0
2	1e4f8503f2b3a7a0	12.0
2	8b8a2295dbc9268a	13.0
2	287f5c97cf29379a	11.0
2	4accd6ec7cf4c036	30.0
2	WHO	
2	bc7c9f95ed192dd6	17.0
2	f26bf2947c81d307	28.0
2	e565ef8c0f39f739	29.0
2	a5d39da57716d742	26.0
2	167e04013f972239	16.0
2	0d877a9f97689f4b	28.0
2	b263ea771522c402	20.0
2	69b1a7d5caaa54d0	0.0
2	c524ee5e77351c82	13.0
2	76edbc33f6eaca2e	24.0
2	828d36b33979def6	23.0
2	NEG	
