run	plate	protocol	scheme_version	plate_lineage
COVID_SEQ3_ARCTIC1_281021	1	ARTIC v3	V3	Delta
20211109_SEQ3_VH_MIDNIGHT_JB_LD	1	Midnight	V1200	Delta
20211110_SEQ3_ARTICV4_JB_LD	1	ARTIC v4	V4	Delta
20211124_MIDNIGHT_SEQ4_JB_LD	2	Midnight	V1200	Delta
SEQ_4_ARTIC_221121	2	ARTIC v4	V4	Delta
SEQ_5_MID_2_PT_2	3	Midnight	V1200	Delta
SEQ_5_ARTIC_2_221121	3	ARTIC v4	V4	Delta
SEQ6_MIDNIGHT_OLD_211214_JGJB	4	Midnight	V1200	Omicron
SEQ6_MIDNIGHT_NEW_16DEC21	4	Midnight v2	V1200	Omicron
20211221_V4SEQ6_2_JB	4	ARTIC v4	V4	Omicron
20211221_V4_1_SEQ6_2_JB	4	ARTIC v4.1	V4.1	Omicron
